age,M_age,w_age,m_age,v_age
0,0.35,0,0,2.51E-08
1,0.35,14.51417614,0.005468399,0.036261919
2,0.35,42.23169217,0.036348653,0.442038807
3,0.35,100.2203411,0.391114655,0.953383076
4,0.35,154.3852266,0.88567802,0.971243836
5,0.35,195.6379319,0.984108285,0.981632314
6,0.35,229.635088,0.996532369,0.979759309
7,0.35,258.8431082,0.998976731,0.973618624
8,0.35,284.0973933,0.999664074,0.965969679
9,0.35,304.4291021,0.999885246,0.959490608
10,0.35,319.8823838,0.999960036,0.954748332
11,0.35,335.9930442,0.999985926,0.951256924
