Year,SSB,Rec,B,Catch,f,Acoustic_Index
1968,735.1099004,2.037161368,935.7872962,180.3406326,0.651153525,NA
1969,571.2651998,1.730519381,740.9667682,123.3635718,0.60380786,NA
1970,429.0689038,11.0817025,556.2006989,160.7452975,0.811455026,NA
1971,341.9885532,3.029804392,494.4211306,103.6603651,0.715422049,NA
1972,300.0782184,3.986680223,560.0914196,129.1591928,0.813687428,NA
1973,255.4935756,3.173933789,539.7817444,102.6020087,0.660704213,NA
1974,343.0200839,0.806294783,569.2219334,149.5097849,0.795072421,NA
1975,273.2979067,1.781633566,443.9103371,115.4813658,0.772592551,NA
1976,260.6692926,12.70148322,369.2876827,119.6451366,0.866281159,NA
1977,182.7899434,6.31307204,363.2976148,94.2645085,1.065406631,NA
1978,120.8634641,0.642757172,404.5597303,108.9215406,1.20350606,NA
1979,180.7554099,3.786051808,534.0640971,53.7403994,0.538308784,NA
1980,472.0370481,4.324981977,689.7331209,101.7578566,0.586012158,NA
1981,495.2585276,6.254444479,657.0533889,123.8308635,0.641041066,NA
1982,435.1857364,11.78798388,645.1050282,114.0026447,0.639535868,NA
1983,379.1717012,12.20109586,755.6602114,135.4112782,0.681254481,NA
1984,398.8754116,6.631914134,938.1351027,134.6268255,0.609697208,NA
1985,668.6095494,5.462806091,1189.413217,146.4135832,0.545541122,NA
1986,802.8384258,3.913138664,1311.426691,136.8575609,0.502160312,NA
1987,842.6530169,4.427948408,1209.274587,143.4382411,0.516480812,NA
1988,739.772054,8.562370908,1027.105614,174.8790261,0.609199231,NA
1989,687.7649666,4.404247633,982.6169439,144.9800791,0.578098198,NA
1990,546.4520037,2.172489484,842.3636042,178.4417613,0.707042923,NA
1991,520.6711912,1.65465598,790.2253539,134.058238,0.597544631,NA
1992,478.5862068,4.347697493,627.2251742,133.7656594,0.66669604,NA
1993,447.4534884,3.17667506,549.7670368,103.4055698,0.644985636,NA
1994,320.8337808,3.226779246,454.5606497,77.80944,0.631871489,NA
1995,340.3701488,1.988301793,456.0815745,59.656434,0.550194378,NA
1996,346.5706434,1.883982234,468.9207505,57.397835,0.544039067,NA
1997,330.2992753,1.182275907,437.9171937,53.965898,0.539509764,NA
1998,302.0476846,4.215515148,377.7136387,77.441784,0.658674021,NA
1999,247.5836522,1.783300974,379.1994499,79.788887,0.725097127,452.197
2000,189.9474595,3.914949718,323.418298,84.215957,0.804523602,443.637
2001,196.7572975,5.296891642,320.4165841,69.481318,0.748447248,404.176
2002,181.3524356,1.748228679,347.3114824,78.218834,0.82341737,455.631
2003,186.8880492,0.999879527,338.4478623,86.50351388,0.84247548,362.626
2004,236.1416488,0.898795806,302.9644344,73.11488995,0.729477154,431.807
2005,190.8432754,3.793354212,234.2496713,45.47108095,0.656060046,239.385
2006,175.1630407,2.468447732,255.2352563,48.90131263,0.691607983,284.839
2007,152.5806146,3.683916481,273.8496954,49.85675406,0.688176483,489.628
2008,172.4397442,2.84069741,298.033106,53.41716319,0.676972221,236.892
2009,177.9158579,1.487503827,293.2649951,53.24453693,0.658957243,401.707
2010,169.109331,2.077219609,277.4831618,44.38111095,0.615093106,254.625
2011,197.0926624,2.600327219,291.3977793,48.24415033,0.619766035,380.676
2012,177.0957917,1.371525076,255.8558407,46.83271291,0.650417996,386.759
2013,169.8977841,3.303615193,269.47566,47.88931181,0.647177268,275.009
2014,189.9869835,2.232863746,266.5034875,50.23008127,0.684641951,380.885
2015,165.7945202,0.945893298,282.6230795,49.40833963,0.673163092,389.523
2016,166.8652673,2.257760254,254.5713132,49.79252521,0.675553829,264.147
2017,158.9450183,0.695547192,224.4458536,39.99702642,0.646340207,307.759
2018,154.1552508,NA,220.3135963,40.84872166,0.650861062,234.52
2019,141.2483259,NA,198.0738519,27.75452134,0.588327047,280.47
2020,135.1364033,NA,205.0683193,34.27146123,0.642996084,296.144
